ir_led1,ir_led2
-102585, -97855
-102656, -97871
-102727, -97883
-102795, -97934
-102837, -97957
-102577, -97966
-102014, -97955
-101633, -97959
-101612, -97982
-101724, -98022
-102087, -98051
-102143, -98063
-102154, -98111
-102136, -98133
-102198, -98143
-102262, -98178
-102349, -98200
-102435, -98221
-102514, -98143
-102590, -98024
-102653, -97955
-102735, -97930
-102806, -97964
-102782, -97987
-102366, -98028
-101785, -98038
-101518, -98025
-101537, -98034
-101684, -98036
-101842, -98065
-102020, -98085
-102073, -98109
-102048, -98115
-102094, -98139
-102141, -98145
-102219, -98170
-102342, -98177
-102430, -98171
-102529, -98102
-102609, -97973
-102675, -97908
-102760, -97908
-102818, -97925
-102884, -97973
-102669, -98005
-102115, -97992
-101648, -97989
-101530, -97980
-101635, -98012
-101777, -98039
-101974, -98059
-102089, -98091
-102100, -98101
-102099, -98118
-102132, -98144
-102206, -98183
-102313, -98196
-102400, -98218
-102465, -98142
-102578, -98021
-102616, -97936
-102710, -97950
-102786, -97953
-102833, -97995
-102674, -98039
-102130, -98016
-101669, -98024
-101570, -98008
-101677, -98039
-101831, -98065
-102038, -98095
-102127, -98119
-102142, -98172
-102119, -98190
-102181, -98213
-102247, -98242
-102353, -98261
-102455, -98270
-102554, -98258
-102649, -98155
-102714, -98028
-102792, -97986
-102882, -97992
-102927, -98009
-102855, -98038
-102362, -98058
-101762, -98048
-101547, -98036
-101606, -98043
-101735, -98069
-101911, -98087
-102048, -98091
-102099, -98128
-102091, -98131
-102123, -98151
-102193, -98149
-102299, -98160
-102385, -98152
-102502, -98046
-102593, -97937
-102686, -97901
-102770, -97905
-102847, -97912
-102931, -97959
-102999, -97973
-102870, -97956
-102291, -97932
-101754, -97911
-101583, -97926
-101631, -97964
-101789, -97977
-101965, -98014
-102133, -98019
-102125, -98015
-102138, -98034
-102215, -98048
-102295, -98036
-102399, -97965
-102485, -97849
-102567, -97801
-102651, -97803
-102725, -97823
-102791, -97885
-102757, -97908
-102313, -97911
-101742, -97906
-101519, -97904
-101558, -97940
-101715, -97954
-101881, -97989
-102054, -98014
-102083, -98034
-102046, -98054
-102047, -98066
-102090, -98085
-102206, -98077
-102296, -98082
-102363, -98008
-102450, -97884
-102512, -97855
-102581, -97856
-102637, -97879
-102669, -97889
-102365, -97926
-101754, -97918
-101346, -97907
-101310, -97914
-101425, -97932
-101590, -97968
-101779, -97981
-101850, -97998
-101840, -98011
-101826, -98019
-101870, -98016
-101959, -98035
-102072, -98042
-102164, -98043
-102224, -97975
-102299, -97831
-102362, -97776
-102408, -97770
-102508, -97766
-102539, -97774
-102284, -97801
-101689, -97772
-101254, -97756
-101190, -97765
-101304, -97746
-101458, -97762
-101641, -97764
-101712, -97763
-101708, -97780
-101679, -97786
-101727, -97793
-101840, -97787
-101912, -97778
-102031, -97664
-102118, -97562
-102183, -97529
-102232, -97515
-102315, -97522
-102402, -97556
-102452, -97568
-102381, -97549
-101867, -97531
-101326, -97535
-101118, -97548
-101224, -97565
-101335, -97575
-101536, -97601
-101659, -97598
-101636, -97627
-101601, -97655
-101618, -97637
-101680, -97658
-101776, -97580
-101866, -97462
-101932, -97386
-101995, -97364
-102076, -97363
-102130, -97401
-102199, -97439
-102000, -97444
-101428, -97442
-100986, -97457
-100909, -97474
-101036, -97493
-101189, -97509
-101386, -97546
-101448, -97575
-101437, -97589
-101392, -97617
-101435, -97640
-101543, -97660
-101625, -97692
-101796, -97696
-101842, -97703
-101894, -97665
-101958, -97511
-102013, -97402
-102002, -97384
-101552, -97387
-100931, -97410
-100656, -97454
-100665, -97478
-100767, -97464
-100913, -97479
-101085, -97495
-101142, -97519
-101121, -97549
-101136, -97576
-101194, -97607
-101293, -97629
-101386, -97656
-101477, -97676
-101562, -97698
-101653, -97718
-101707, -97737
-101775, -97746
-101804, -97747
-101876, -97678
-101950, -97548
-101983, -97459
-101732, -97448
-101047, -97435
-100586, -97468
-100502, -97494
-100580, -97485
-100692, -97477
-100867, -97474
-101000, -97481
-101008, -97497
-100995, -97517
-101027, -97525
-101131, -97554
-101226, -97576
-101325, -97591
-101436, -97593
-101516, -97635
-101598, -97650
-101654, -97647
-101736, -97606
-101770, -97486
-101855, -97391
-101947, -97353
-101977, -97357
-101788, -97375
-101145, -97414
-100644, -97435
-100555, -97428
-100638, -97422
-100765, -97443
-100931, -97458
-101061, -97491
-101058, -97517
-101033, -97545
-101067, -97568
-101153, -97582
-101257, -97600
-101338, -97614
-101437, -97633
-101514, -97659
-101593, -97676
-101631, -97678
-101712, -97633
-101783, -97510
-101846, -97414
-101854, -97356
-101410, -97349
-100795, -97370
-100504, -97420
-100504, -97439
-100633, -97420
-100795, -97422
-100968, -97456
-101042, -97456
-101031, -97475
-101034, -97526
-101108, -97548
-101190, -97578
-101293, -97599
-101398, -97629
-101481, -97627
-101573, -97646
-101640, -97680
-101709, -97666
-101762, -97678
-101817, -97608
-101885, -97489
-101961, -97404
-102006, -97368
-101709, -97359
-101033, -97387
-100551, -97416
-100481, -97418
-100582, -97413
-100699, -97411
-101034, -97425
-101033, -97432
-101030, -97458
-101065, -97473
-101151, -97469
-101261, -97504
-101348, -97522
-101456, -97538
-101551, -97561
-101643, -97566
-101712, -97590
-101790, -97506
-101855, -97390
-101913, -97304
-102009, -97277
-102061, -97283
-101798, -97314
-101127, -97350
-100639, -97352
-100579, -97331
-100686, -97347
-100839, -97358
-101015, -97388
-101142, -97400
-101142, -97438
-101098, -97454
-101151, -97470
-101247, -97486
-101340, -97511
-101428, -97520
-101530, -97525
-101626, -97550
-101674, -97479
-101749, -97350
-101811, -97274
-101884, -97260
-101949, -97263
-101765, -97303
-101136, -97332
-100617, -97344
-100496, -97334
-100576, -97332
-100723, -97342
-100933, -97367
-101056, -97395
-101077, -97420
-101065, -97429
-101090, -97445
-101174, -97465
-101279, -97490
-101377, -97482
-101471, -97495
-101574, -97455
-101646, -97340
-101702, -97256
-101767, -97187
-101845, -97183
-101899, -97208
-101851, -97238
-101341, -97244
-100708, -97240
-100453, -97230
-100480, -97220
-100622, -97234
-100786, -97269
-100966, -97290
-101021, -97314
-101012, -97348
-101024, -97360
-101087, -97381
-101182, -97386
-101277, -97381
-101378, -97319
-101461, -97205
-101515, -97124
-101611, -97106
-101662, -97140
-101751, -97167
-101782, -97179
-101512, -97202
-100904, -97198
-100478, -97223
-100424, -97242
-100538, -97266
-100714, -97308
-100908, -97342
-101009, -97371
-101005, -97394
-100956, -97409
-101007, -97441
-101090, -97463
-101182, -97468
-101270, -97412
-101354, -97269
-101417, -97177
-101504, -97157
-101588, -97156
-101635, -97179
-101614, -97220
-101168, -97233
-100579, -97240
-100295, -97235
-100458, -97274
-100627, -97286
-100808, -97325
-100863, -97371
-100844, -97361
-100859, -97413
-100892, -97419
-100987, -97446
-101103, -97479
-101184, -97482
-101298, -97498
-101357, -97413
-101416, -97274
-101495, -97232
-101567, -97230
-101605, -97230
-101455, -97270
-100856, -97280
-100301, -97277
-100174, -97265
-100272, -97239
-100400, -97289
-100580, -97309
-100752, -97316
-100771, -97353
-100741, -97383
-100803, -97394
-100855, -97423
-100970, -97441
-101049, -97438
-101167, -97337
-101250, -97211
-101327, -97184
-101408, -97168
-101472, -97197
-101549, -97232
-101573, -97243
-101326, -97224
-100728, -97205
-100323, -97201
-100281, -97220
-100389, -97262
-100567, -97275
-100766, -97278
-100877, -97311
-100874, -97318
-100862, -97326
-100887, -97314
-100958, -97190
-101061, -97093
-101156, -97062
-101216, -97072
-101302, -97086
-101380, -97123
-101460, -97160
-101526, -97125
-101374, -97137
-100839, -97138
-100406, -97168
-100306, -97200
-100425, -97239
-100615, -97261
-100822, -97297
-100914, -97317
-100909, -97334
-100867, -97306
-100900, -97193
-100974, -97132
-101071, -97117
-101169, -97141
-101249, -97165
-101329, -97215
-101413, -97244
-101444, -97240
-101241, -97248
-100723, -97273
-100305, -97313
-100272, -97330
-100412, -97376
-100572, -97418
-100783, -97450
-100866, -97479
-100870, -97515
-100885, -97567
-100951, -97583
-101051, -97501
-101160, -97437
-101270, -97425
-101387, -97437
-101500, -97470
-101592, -97505
-101653, -97556
-101394, -97564
-100879, -97585
-100569, -97622
-100547, -97662
-100649, -97703
-100810, -97753
-101016, -97808
-101106, -97853
-101180, -97901
-101202, -97947
-101415, -97999
-101565, -98034
-101681, -98071
-101814, -98091
-101940, -98088
-102063, -98033
-102172, -98001
-102281, -98001
-102223, -98019
-101812, -98057
-101405, -98092
-101230, -98094
-101293, -98098
-101417, -98119
-101606, -98138
-101768, -98161
-101852, -98190
-101902, -98205
-101948, -98241
-102065, -98253
-102193, -98281
-102321, -98302
-102419, -98303
-102596, -98314
-102694, -98292
-102810, -98247
-102933, -98212
-103058, -98177
-103172, -98198
-103260, -98205
-103199, -98214
-102952, -98242
-102655, -98246
-102464, -98259
-102420, -98263
-102504, -98282
-102643, -98315
-102748, -98327
-102836, -98336
-102900, -98377
-102971, -98388
-103075, -98420
-103166, -98438
-103272, -98432
-103364, -98440
-103463, -98409
-103545, -98380
-103646, -98348
-103737, -98345
-103836, -98351
-103820, -98374
-103689, -98399
-103532, -98390
-103411, -98394
-103360, -98418
-103367, -98400
-103463, -98437
-103515, -98451
-103552, -98468
-103592, -98491
-103642, -98496
-103696, -98513
-103775, -98537
-103858, -98553
-103941, -98552
-104019, -98564
-104077, -98558
-104137, -98504
-104224, -98463
-104300, -98422
-104357, -98416
-104288, -98421
-104097, -98418
-103954, -98452
-103840, -98435
-103809, -98435
-103788, -98440
-103822, -98445
-103877, -98447
-103862, -98468
-103880, -98487
-103899, -98468
-103955, -98495
-104021, -98490
-104086, -98501
-104153, -98511
-104215, -98512
-104269, -98503
-104315, -98508
-104376, -98448
-104427, -98371
-104472, -98336
-104497, -98296
-104413, -98285
-104238, -98293
-104082, -98299
-103978, -98288
-103923, -98263
-103942, -98251
-103961, -98249
-103984, -98243
-104001, -98251
-103994, -98252
-104067, -98260
-104101, -98233
-104160, -98258
-104216, -98239
-104268, -98211
-104310, -98216
-104371, -98158
-104422, -98086
-104497, -98025
-104554, -98008
-104599, -98023
-104574, -98023
-104408, -98038
-104237, -98026
-104111, -98024
-104023, -98014
-104009, -98023
-104032, -98023
-104069, -98039
-104056, -98054
-104051, -98057
-104032, -98067
-104064, -98069
-104127, -98077
-104143, -98076
-104218, -98073
-104261, -98042
-104297, -97969
-104357, -97891
-104427, -97828
-104472, -97845
-104482, -97864
-104360, -97904
-104131, -97909
-103935, -97909
-103782, -97915
-103697, -97911
-103701, -97929
-103728, -97950
-103744, -97961
-103729, -97982
-103728, -98002
-103749, -98019
-103774, -98024
-103808, -98045
-103870, -98060
-103933, -98062
-103983, -98072
-104069, -98070
-104151, -98049
-104198, -97961
-104280, -97903
-104288, -97854
-104092, -97886
-103779, -97907
-103415, -97928
-103175, -97932
-103034, -97932
-103007, -97930
-103046, -97923
-103088, -97951
-103081, -97961
-103062, -98000
-103109, -98011
-103181, -98034
-103269, -98055
-103365, -98067
-103469, -98084
-103565, -98119
-103674, -98111
-103764, -98131
-103849, -98113
-103943, -98000
-104019, -97947
-104108, -97901
-104137, -97907
-103903, -97924
-103495, -97950
-103021, -97957
-102750, -97961
-102670, -97945
-102701, -97942
-102823, -97963
-102904, -97986
-102927, -98003
-102936, -98029
-102986, -98050
-103081, -98049
-103199, -98081
-103313, -98082
-103432, -98076
-103540, -98049
-103649, -97955
-103737, -97887
-103839, -97857
-103940, -97889
-104029, -97916
-104093, -97969
-103957, -97987
-103563, -97992
-103133, -97980
-102856, -97995
-102828, -98022
-102938, -98035
-103008, -98077
-103037, -98114
-103028, -98106
-103069, -98138
-103127, -98165
-103221, -98182
-103335, -98198
-103444, -98203
-103549, -98190
-103646, -98096
-103747, -98004
-103835, -97964
-103901, -97984
-103785, -98017
-103381, -98048
-102838, -98068
-102552, -98077
-102482, -98088
-102562, -98108
-102707, -98115
-102782, -98154
-102868, -98183
-102860, -98204
-102892, -98251
-102976, -98263
-103066, -98285
-103154, -98315
-103268, -98332
-103364, -98324
-103457, -98338
-103543, -98290
-103635, -98167
-103706, -98094
-103777, -98084
-103755, -98133
-103386, -98162
-102787, -98193
-102346, -98203
-102258, -98211
-102318, -98219
-102452, -98245
-102602, -98267
-102683, -98297
-102704, -98333
-102724, -98339
-102783, -98378
-102860, -98399
-103002, -98402
-103103, -98443
-103201, -98454
-103328, -98468
-103405, -98453
-103486, -98397
-103560, -98281
-103622, -98232
-103706, -98222
-103634, -98239
-103209, -98273
-102581, -98269
-102205, -98249
-102166, -98253
-102257, -98244
-102429, -98262
-102573, -98281
-102653, -98310
-102654, -98354
-102688, -98378
-102762, -98403
-102862, -98412
-102983, -98423
-103077, -98420
-103191, -98428
-103263, -98330
-103365, -98240
-103454, -98205
-103497, -98220
-103602, -98242
-103670, -98274
-103575, -98315
-103093, -98278
-102538, -98290
-102238, -98291
-102205, -98300
-102324, -98319
-102510, -98339
-102620, -98363
-102673, -98362
-102654, -98389
-102677, -98409
-102755, -98394
-102856, -98410
-102977, -98351
-103073, -98236
-103157, -98147
-103226, -98114
-103303, -98132
-103387, -98151
-103442, -98183
-103411, -98166
-103039, -98156
-102478, -98146
-102186, -98146
-102328, -98151
-102521, -98181
-102664, -98195
-102713, -98199
-102692, -98227
-102710, -98239
-102771, -98273
-102857, -98263
-102985, -98255
-103052, -98188
-103146, -98058
-103224, -97972
-103294, -97959
-103365, -97972
-103416, -97971
-103267, -97997
-102724, -98001
-102185, -97977
-101981, -97972
-102027, -97988
-102174, -98007
-102334, -98043
-102475, -98072
-102475, -98086
-102454, -98114
-102488, -98131
-102547, -98141
-102669, -98172
-102752, -98206
-102846, -98205
-102938, -98087
-103016, -97974
-103095, -97945
-103157, -97932
-103200, -97944
-102984, -97976
-102371, -97998
-101796, -97988
-101602, -97997
-101621, -98000
-101725, -98021
-101904, -98057
-102036, -98102
-102073, -98144
-102069, -98172
-102112, -98192
-102187, -98227
-102280, -98243
-102413, -98259
-102508, -98260
-102603, -98158
-102690, -98032
-102764, -97953
-102850, -97965
-102914, -97970
-102898, -97982
-102479, -98033
-101809, -98027
-101427, -98013
-101371, -98010
-101444, -98029
-101574, -98049
-101757, -98075
-101860, -98106
-101897, -98128
-101898, -98164
-101957, -98183
-102044, -98179
-102168, -98189
-102273, -98117
-102378, -98000
-102483, -97935
-102549, -97927
-102637, -97935
-102745, -97965
-102800, -97998
-102704, -98010
-102197, -97976
-101597, -97991
-101373, -98005
-101394, -98043
-101516, -98091
-101712, -98109
-101848, -98137
-101892, -98168
-101872, -98191
-101898, -98206
-101987, -98221
-102080, -98153
-102197, -98033
-102299, -97935
-102396, -97926
-102470, -97930
-102531, -97951
-102605, -98004
-102601, -98022
-102184, -98019
-101604, -98020
-101285, -98039
-101289, -98071
-101435, -98110
-101581, -98166
-101833, -98175
-101832, -98210
-101863, -98248
-101936, -98240
-102035, -98264
-102148, -98228
-102260, -98127
-102343, -98055
-102425, -98046
-102517, -98071
-102601, -98083
-102634, -98129
-102387, -98150
-101779, -98136
-101325, -98146
-101199, -98175
-101282, -98199
-101444, -98234
-101627, -98267
-101734, -98292
-101765, -98321
-101758, -98343
-101817, -98348
-101913, -98381
-101999, -98337
-102115, -98240
-102216, -98159
-102290, -98159
-102402, -98176
-102486, -98181
-102560, -98245
-102461, -98259
-101939, -98240
-101431, -98241
-101246, -98242
-101283, -98274
-101419, -98299
-101641, -98329
-101764, -98340
-101815, -98373
-101836, -98384
-101873, -98410
-101961, -98374
-102076, -98270
-102197, -98195
-102302, -98189
-102412, -98208
-102498, -98245
-102626, -98272
-102703, -98297
-102666, -98298
-102274, -98305
-101734, -98289
-101478, -98341
-101520, -98363
-101650, -98394
-101859, -98414
-102027, -98463
-102061, -98478
-102060, -98468
-102072, -98486
-102152, -98377
-102244, -98280
-102355, -98237
-102465, -98256
-102562, -98271
-102666, -98306
-102750, -98331
-102789, -98334
-102491, -98338
-101940, -98349
-101597, -98379
-101589, -98405
-101714, -98439
-101932, -98461
-102103, -98504
-102129, -98544
-102156, -98532
-102152, -98561
-102236, -98527
-102337, -98398
-102446, -98333
-102529, -98334
-102628, -98352
-102728, -98374
-102813, -98418
-102888, -98449
-102725, -98452
-102189, -98461
-101694, -98491
-101530, -98503
-101593, -98543
-101737, -98578
-101929, -98614
-102062, -98633
-102103, -98676
-102096, -98679
-102155, -98693
-102232, -98638
-102342, -98530
-102492, -98470
-102583, -98479
-102787, -98490
-102888, -98527
-102933, -98571
-102760, -98562
-102190, -98542
-101738, -98550
-101633, -98560
-101710, -98562
-101866, -98592
-102061, -98603
-102190, -98613
-102235, -98635
-102247, -98641
-102309, -98637
-102423, -98620
-102531, -98531
-102658, -98435
-102766, -98410
-102865, -98439
-102978, -98469
-103063, -98511
-103134, -98520
-102901, -98507
-102426, -98508
-102021, -98515
-101953, -98541
-102059, -98570
-102229, -98570
-102433, -98610
-102534, -98624
-102546, -98632
-102550, -98650
-102612, -98653
-102694, -98607
-102800, -98505
-102891, -98487
-102996, -98488
-103084, -98515
-103173, -98565
-103247, -98598
-103241, -98618
-102903, -98615
-102396, -98621
-102127, -98637
-102128, -98667
-102252, -98700
-102427, -98720
-102590, -98738
-102607, -98745
-102661, -98768
-102686, -98767
-102739, -98766
-102836, -98748
-102939, -98619
-103025, -98576
-103120, -98580
-103209, -98578
-103288, -98622
-103354, -98661
-103250, -98674
-102814, -98660
-102321, -98670
-102117, -98695
-102138, -98704
-102254, -98738
-102431, -98757
-102558, -98773
-102614, -98798
-102637, -98797
-102686, -98791
-102766, -98804
-102874, -98751
-102971, -98631
-103090, -98535
-103156, -98527
-103288, -98540
-103370, -98573
-103429, -98596
-103394, -98607
-103026, -98569
-102476, -98572
-102206, -98581
-102191, -98589
-102306, -98617
-102479, -98655
-102631, -98667
-102699, -98708
-102698, -98718
-102746, -98724
-102807, -98732
-102927, -98668
-103029, -98557
-103125, -98495
-103220, -98497
-103293, -98517
-103385, -98565
-103450, -98591
-103478, -98591
-103237, -98583
-102717, -98588
-102300, -98607
-102240, -98626
-102338, -98655
-102477, -98698
-102730, -98714
-102737, -98730
-102741, -98756
-102789, -98760
-102885, -98769
-102978, -98782
-103082, -98700
-103167, -98581
-103257, -98506
-103340, -98498
-103411, -98511
-103431, -98555
-103161, -98579
-102584, -98592
-102204, -98587
-102137, -98594
-102223, -98607
-102404, -98650
-102580, -98659
-102661, -98681
-102681, -98708
-102692, -98740
-102761, -98751
-102865, -98772
-102960, -98780
-103095, -98781
-103189, -98683
-103286, -98530
-103360, -98479
-103445, -98444
-103519, -98457
-103555, -98486
-103316, -98512
-102716, -98510
-102235, -98491
-102097, -98487
-102159, -98497
-102324, -98521
-102501, -98541
-102621, -98573
-102648, -98587
-102660, -98600
-102709, -98620
-102810, -98639
-102926, -98653
-103046, -98602
-103149, -98497
-103234, -98400
-103329, -98385
-103413, -98407
-103472, -98442
-103553, -98500
-103439, -98493
-102888, -98514
-102322, -98520
-102089, -98536
-102142, -98575
-102290, -98611
-102485, -98628
-102605, -98649
-102635, -98671
-102598, -98688
-102640, -98724
-102705, -98723
-102806, -98745
-102930, -98673
-103032, -98543
-103121, -98470
-103187, -98457
-103265, -98480
-103344, -98529
-103326, -98546
-102957, -98568
-102301, -98571
-101967, -98573
-101928, -98604
-102046, -98634
-102268, -98670
-102444, -98687
-102516, -98751
-102511, -98762
-102505, -98785
-102588, -98819
-102684, -98824
-102797, -98842
-102913, -98767
-103018, -98646
-103100, -98571
-103185, -98542
-103273, -98570
-103337, -98591
-103308, -98633
-102876, -98625
-102226, -98613
-101868, -98605
-101847, -98614
-101985, -98635
-102177, -98651
-102344, -98677
-102394, -98679
-102414, -98708
-102446, -98718
-102643, -98735
-102752, -98729
-102872, -98634
-102984, -98539
-103071, -98457
-103154, -98475
-103254, -98472
-103333, -98513
-103375, -98527
-103079, -98531
-102443, -98527
-101974, -98528
-101889, -98541
-102010, -98555
-102203, -98569
-102397, -98608
-102470, -98633
-102468, -98664
-102453, -98676
-102515, -98680
-102610, -98660
-102715, -98542
-102813, -98433
-102927, -98396
-103012, -98412
-103086, -98414
-103182, -98461
-103191, -98463
-102865, -98481
-102225, -98481
-101825, -98462
-101772, -98496
-101900, -98539
-102095, -98551
-102282, -98586
-102368, -98614
-102349, -98635
-102363, -98656
-102431, -98685
-102527, -98688
-102616, -98609
-102729, -98477
-102809, -98399
-102903, -98397
-103018, -98393
-103082, -98426
-103066, -98423
-102633, -98423
-101935, -98443
-101612, -98438
-101598, -98473
-101679, -98505
-101889, -98516
-102055, -98526
-102125, -98571
-102118, -98578
-102143, -98599
-102223, -98621
-102307, -98625
-102433, -98646
-102549, -98559
-102666, -98455
-102748, -98410
-102829, -98416
-102913, -98435
-102962, -98482
-102848, -98502
-102257, -98514
-101675, -98498
-101439, -98491
-101507, -98514
-101669, -98547
-101831, -98575
-101993, -98597
-102004, -98620
-102012, -98627
-102021, -98662
-102091, -98684
-102217, -98678
-102325, -98697
-102429, -98668
-102521, -98523
-102634, -98440
-102704, -98428
-102797, -98445
-102890, -98482
-102835, -98512
-102330, -98513
-101735, -98492
-101459, -98485
-101474, -98486
-101632, -98499
-101817, -98531
-102004, -98546
-102044, -98569
-102055, -98588
-102059, -98609
-102148, -98605
-102258, -98617
-102366, -98569
-102486, -98453
-102603, -98362
-102690, -98340
-102875, -98362
-102940, -98373
-102993, -98419
-102783, -98426
-102167, -98405
-101679, -98411
-101571, -98409
-101682, -98432
-101875, -98466
-102081, -98484
-102159, -98506
-102160, -98527
-102145, -98540
-102175, -98569
-102275, -98566
-102370, -98583
-102487, -98521
-102573, -98386
-102646, -98317
-102735, -98307
-102825, -98304
-102888, -98335
-102760, -98363
-102233, -98376
-101665, -98363
-101474, -98369
-101537, -98370
-101699, -98405
-101906, -98438
-102023, -98435
-102063, -98466
-102050, -98502
-102095, -98517
-102163, -98533
-102273, -98553
-102388, -98583
-102499, -98583
-102594, -98565
-102651, -98446
-102750, -98323
-102814, -98318
-102866, -98342
-102720, -98351
-102122, -98404
-101513, -98422
-101306, -98403
-101350, -98410
-101493, -98415
-101686, -98441
-101853, -98457
-101863, -98503
-101873, -98517
-101899, -98521
-101987, -98570
-102072, -98588
-102191, -98607
-102293, -98656
-102412, -98664
-102493, -98672
-102579, -98594
-102661, -98454
-102742, -98381
-102810, -98364
-102850, -98386
-102542, -98443
-101861, -98473
-101358, -98472
-101271, -98455
-101373, -98458
-101526, -98458
-101709, -98487
-101835, -98524
-101867, -98533
-101843, -98549
-101913, -98568
-102000, -98597
-102112, -98608
-102242, -98595
-102350, -98577
-102437, -98458
-102536, -98326
-102616, -98291
-102685, -98311
-102776, -98318
-102842, -98379
-102797, -98390
-102310, -98385
-101691, -98377
-101378, -98375
-101388, -98395
-101522, -98433
-101722, -98443
-101891, -98463
-101959, -98491
-101960, -98503
-101966, -98503
-102038, -98519
-102135, -98429
-102215, -98289
-102339, -98223
-102447, -98206
-102515, -98235
-102699, -98255
-102751, -98288
-102622, -98290
-102091, -98279
-101543, -98271
-101381, -98289
-101460, -98318
-101637, -98340
-101861, -98362
-101957, -98387
-101966, -98413
-101947, -98427
-101978, -98462
-102040, -98461
-102149, -98335
-102239, -98211
-102338, -98162
-102418, -98174
-102518, -98191
-102592, -98235
-102643, -98242
-102352, -98252
-101711, -98254
-101276, -98272
-101191, -98302
-101301, -98339
-101477, -98352
-101664, -98378
-101737, -98421
-101739, -98424
-101737, -98460
-101795, -98475
-101871, -98484
-101982, -98385
-102076, -98256
-102158, -98184
-102236, -98191
-102325, -98204
-102393, -98231
-102386, -98256
-101982, -98261
-101347, -98256
-101002, -98268
-100994, -98287
-101114, -98307
-101296, -98338
-101463, -98359
-101506, -98389
-101514, -98390
-101530, -98429
-101563, -98438
-101687, -98454
-101773, -98432
-101858, -98328
-101944, -98196
-102021, -98147
-102091, -98162
-102165, -98181
-102220, -98218
-102054, -98231
-101486, -98262
-100992, -98287
-100882, -98305
-100987, -98384
-101117, -98407
-101314, -98439
-101419, -98494
-101414, -98534
-101399, -98543
-101450, -98538
-101535, -98524
-101636, -98460
-101739, -98418
-101791, -98282
-101877, -98162
-101956, -98127
-102013, -98164
-102091, -98186
-102122, -98207
-101977, -98241
-101419, -98227
-100933, -98231
-100812, -98270
-100941, -98323
-101119, -98388
-101308, -98424
-101436, -98477
-101459, -98515
-101419, -98557
-101468, -98569
